월,거래일수,시작총자산,월말총자산,월손익,월수익률,월최저현금,월최대낙폭,매수건수,매도건수
2023-07,14,100000000.0,100000000.0,0.0,0.0,100000000.0,0.0,0,0
2023-08,22,100000000.0,100120742.0,120742.0,0.12,88180878.0,-1.1,4,2
2023-09,19,100055262.0,100634257.0,578995.0,0.58,78166194.0,-0.75,2,2
2023-10,19,100229257.0,99789660.0,-439597.0,-0.44,83380732.0,-1.26,5,10
2023-11,22,100719225.0,102444092.0,1724867.0,1.71,77498842.0,-0.79,5,10
2023-12,19,102442980.0,102859145.0,416165.0,0.41,71444070.0,-0.82,6,9
2024-01,22,102940057.0,103111360.0,171303.0,0.17,64327023.0,-1.76,7,6
2024-02,19,104042053.0,108325891.0,4283838.0,4.12,62451216.0,-1.88,7,12
2024-03,20,108649377.0,109237210.0,587833.0,0.54,71834255.0,-1.13,6,6
2024-04,21,109088810.0,107919437.0,-1169373.0,-1.07,61788342.0,-2.52,3,2
2024-05,20,107412114.0,104934928.0,-2477186.0,-2.31,64195684.0,-2.81,3,3
2024-06,19,105838744.0,104661967.0,-1176777.0,-1.11,59409150.0,-1.5,4,3
2024-07,23,105065542.0,105020291.0,-45251.0,-0.04,60492452.0,-1.76,3,7
2024-08,21,105080291.0,104898564.0,-181727.0,-0.17,88291406.0,-0.69,4,2
2024-09,18,105302964.0,105159458.0,-143506.0,-0.14,90685184.0,-0.95,2,1
2024-10,20,105136558.0,106203351.0,1066793.0,1.01,93646358.0,-0.54,0,2
2024-11,21,106284351.0,106634536.0,350185.0,0.33,93405936.0,-0.57,4,2
2024-12,20,106591136.0,105019382.0,-1571754.0,-1.47,79319972.0,-2.1,3,2
2025-01,18,105826382.0,106559384.0,733002.0,0.69,84781382.0,-0.91,2,3
2025-02,20,106169284.0,109665971.0,3496687.0,3.29,80131894.0,-1.51,3,5
2025-03,20,108945921.0,109077628.0,131707.0,0.12,99876521.0,-0.19,0,9
2025-04,22,109082199.0,110864280.0,1782081.0,1.63,98288931.0,-0.16,3,5
2025-05,19,110777480.0,112809896.0,2032416.0,1.83,65334535.0,-0.72,6,4
2025-06,19,113159346.0,120287600.0,7128254.0,6.3,73471496.0,-1.56,5,8
2025-07,23,121853425.0,127807156.0,5953731.0,4.89,58977425.0,-1.56,7,13
2025-08,20,126687356.0,126425329.0,-262027.0,-0.21,90334156.0,-2.0,0,2
2025-09,22,125869337.0,124456198.0,-1413139.0,-1.12,57013895.0,-1.89,7,3
2025-10,18,124251298.0,125744159.0,1492861.0,1.2,67172574.0,-1.35,2,1
2025-11,20,127229040.0,127329078.0,100038.0,0.08,65842568.0,-1.98,4,5
2025-12,21,127686878.0,127040741.0,-646137.0,-0.51,82671585.0,-1.52,1,2
2026-01,21,126847441.0,129446653.0,2599212.0,2.05,76459553.0,-1.44,5,4
2026-02,17,128692653.0,135543788.0,6851135.0,5.32,76459553.0,-1.07,4,6
2026-03,21,140083631.0,135148785.0,-4934846.0,-3.52,103156840.0,-3.52,7,6
2026-04,22,136726085.0,140211668.0,3485583.0,2.55,73982918.0,-0.53,6,8
2026-05,18,140412968.0,142381091.0,1968123.0,1.4,73982918.0,-2.76,6,8
2026-06,19,141860814.0,139253422.0,-2607392.0,-1.84,75865314.0,-4.53,4,7
